,Official Core Consumer Price Index,Energy Price Index,Food Price Index,Headline Consumer Price Index,Producer Price Index,Petrol,Diesel
2003-01-01,0.10789210789210775,-0.29090909090909095,0.07437595517065698,0.14449427005480817,0.022760709649502338,-1.2797501051240479,-1.3254878414890414
2003-02-01,0.11188811188811179,-0.2545454545454545,0.08456444218033604,0.1484803188839061,0.03158805711813048,-1.2659338018862272,-1.312638847193034
2003-03-01,0.11588411588411585,-0.2545454545454545,0.0906775343861437,0.15445939212755355,0.035222847252271684,-1.2659338018862272,-1.312638847193034
2003-04-01,0.12187812187812179,-0.2727272727272727,0.0947529291900151,0.1624314897857497,0.022760709649502338,-1.3178350453535186,-1.3604323026118272
2003-05-01,0.12387612387612396,-0.3090909090909091,0.10290371879775848,0.1624314897857497,0.017395067070532157,-1.3150117138223116,-1.3513059141398969
2003-06-01,0.12187812187812179,-0.32727272727272727,0.09679062659195109,0.16043846537120074,0.012202509736044972,-1.3150117138223116,-1.3513059141398969
2003-07-01,0.1198801198801199,-0.3090909090909091,0.0947529291900151,0.15844544095665147,0.015664214625703176,-1.3287679461764896,-1.3640948664064836
2003-08-01,0.12587412587412583,-0.29090909090909095,0.09679062659195109,0.1624314897857497,0.021029857204673114,-1.288640595903167,-1.3336535574902422
2003-09-01,0.12987012987012989,-0.3090909090909091,0.10697911360163015,0.1664175386148479,0.01393336218087395,-1.302577040908273,-1.3469828880216141
2003-10-01,0.1318681318681318,-0.3090909090909091,0.11105450840550184,0.16841056302939686,0.022760709649502338,-1.2665945816062967,-1.3134193935755016
2003-11-01,0.1318681318681318,-0.3090909090909091,0.11512990320937323,0.16841056302939686,0.02812635222847252,-1.281071664564187,-1.325207645351745
2003-12-01,0.13586413586413584,-0.3090909090909091,0.1192052980132449,0.17239661185849509,0.0298572046733015,-1.2673755030936518,-1.3104773341338927
2004-01-01,0.12587412587412583,-0.2727272727272727,0.11512990320937323,0.1664175386148479,0.02449156209433132,-1.2095272421457333,-1.250495346742719
2004-02-01,0.12987012987012989,-0.29090909090909095,0.1192052980132449,0.17040358744394613,0.022760709649502338,-1.2289301375623247,-1.2779945962173511
2004-03-01,0.1318681318681318,-0.32727272727272727,0.1192052980132449,0.17239661185849509,0.0298572046733015,-1.2305320277927967,-1.2792554788351833
2004-04-01,0.13786213786213772,-0.34545454545454546,0.11512990320937323,0.17837568510214227,0.0298572046733015,-1.1832161951102311,-1.2311017712398669
2004-05-01,0.14185814185814177,-0.29090909090909095,0.1192052980132449,0.1843547583457897,0.04405019472090007,-1.1715023727999052,-1.2242569798859189
