,Official Core Consumer Price Index,Energy Price Index,Food Price Index,Headline Consumer Price Index,Producer Price Index
1970-01-01,8.9,5.0,7.8,8.1,8.65
1970-02-01,9.0,4.9,7.9,8.2,8.71
1970-03-01,9.0,5.1,8.0,8.2,8.76
1970-04-01,9.2,5.6,8.1,8.3,8.82
1970-05-01,9.2,6.1,8.2,8.4,8.93
1970-06-01,9.2,5.9,8.2,8.4,8.93
1970-07-01,9.3,6.7,8.2,8.5,9.05
1970-08-01,9.3,6.8,8.1,8.4,9.05
1970-09-01,9.4,7.0,8.2,8.5,9.1
1970-10-01,9.5,7.4,8.2,8.6,9.22
1970-11-01,9.5,7.9,8.3,8.6,9.33
1970-12-01,9.6,7.9,8.4,8.7,9.39
1971-01-01,9.7,8.5,8.6,8.8,9.5
1971-02-01,9.8,8.5,8.6,8.9,9.56
1971-03-01,9.8,8.8,8.7,8.9,9.62
1971-04-01,10.0,9.4,9.0,9.1,9.73
1971-05-01,10.1,9.8,9.1,9.2,9.79
1971-06-01,10.1,10.3,9.2,9.3,9.84
1971-07-01,10.2,10.1,9.2,9.3,9.9
1971-08-01,10.2,10.3,9.2,9.3,9.9
1971-09-01,10.2,9.9,9.2,9.3,9.96
1971-10-01,10.3,9.4,9.2,9.4,9.96
1971-11-01,10.3,9.2,9.4,9.4,9.96
1971-12-01,10.4,9.0,9.5,9.5,9.96
1972-01-01,10.4,8.2,9.6,9.5,10.01
1972-02-01,10.5,8.1,9.6,9.6,10.07
1972-03-01,10.5,7.6,9.7,9.6,10.13
1972-04-01,10.6,6.3,9.6,9.7,10.13
1972-05-01,10.7,6.1,9.7,9.8,10.18
1972-06-01,10.7,6.1,9.9,9.8,10.24
1972-07-01,10.8,5.8,9.9,9.9,10.3
1972-08-01,10.9,6.6,10.1,9.9,10.41
1972-09-01,10.9,7.0,10.1,10.0,10.47
1972-10-01,11.1,7.9,10.1,10.1,10.53
1972-11-01,11.1,7.6,10.2,10.2,10.64
1972-12-01,11.2,7.7,10.3,10.2,10.64
1973-01-01,11.2,7.7,10.5,10.3,10.7
